gene_names,bl41,C8166,CEM A 301,CEM SS,CEM X 174,DAUDI,HSB2,HT1080,IMR90,JURKAT E6.1,Jurkat tag,MT4,RAJI,RAMOS,WI38
SCIN,1,0,0,1,0,1,1,633,7,1,0,4,0,0,2
ARSD,1,1,1,0,0,0,0,83,410,0,0,0,0,0,579
PNPLA4,3,0,0,0,11,54,1,78,123,0,0,0,108,60,113
MYH13,0,0,0,1,0,1,1,138,0,1,7,0,4,0,3
ADIPOR2,1817,699,30,1920,307,784,1143,722,1754,2336,1598,1630,1556,1106,1637
CDKL3,19,7,0,11,4,25,20,8,26,24,33,10,12,7,26
UPP2,0,0,0,0,0,1,0,1,0,3,1,0,2,0,1
PRSS21,1,0,0,1317,0,3,1,0,0,0,842,0,0,0,0
MARK4,167,96,4,135,18,69,219,141,404,473,182,172,173,54,857
PROM1,1,2,0,0,0,4,0,0,0,9,0,1,16,0,0
CCDC124,478,472,19,624,184,262,422,276,809,581,656,199,952,232,544
CEACAM21,64,0,0,3,0,2,12,0,0,2,0,0,6,8,0
PAFAH1B1,1003,1286,53,1687,290,1674,2546,1061,5505,4369,2755,2191,2551,809,5118
NOS2,0,30,0,3,0,0,0,0,0,2,1,1,2,0,0
DNAH9,1,1,0,0,0,2,15,0,0,19,8,3,3,1,2
BLTP2,6065,2623,144,5209,781,4268,4416,2606,7647,4891,7350,3828,9774,4502,7741
SLC13A2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
GAS7,8,142,43,1547,1,93,816,1,737,4798,1423,111,932,0,1236
TRAPPC6A,312,38,0,189,10,269,203,21,45,313,316,112,247,150,25
MATK,0,0,18,1,0,1,1130,0,0,4,547,0,0,1,1
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,16636,6,1,203,86,6414,15,7,8,5,7,2,12832,4432,1
SCN4A,251,0,0,34,1,37,0,0,0,0,2,0,108,42,0
ST7L,255,85,6,214,21,178,184,187,504,580,470,295,214,140,612
TKTL1,1,0,0,18,0,0,1,0,0,76,192,0,1,1,3
PAX6,173,32,2,92,3,36,19,20,11,244,96,23,15,35,10
RPUSD1,350,211,14,530,73,309,317,112,449,461,521,255,966,236,257
RHBDF1,41,5,0,7,2,26,17,358,1336,21,17,12,11,3,2007
LUC7L,847,745,40,762,139,793,1502,474,1457,2120,1669,1565,1070,367,1428
CACNA2D2,22,2,0,1,0,12,42,9,13,75,74,5,8,6,15
BAIAP3,101,177,6,277,16,102,240,95,448,228,415,197,395,77,181
TSR3,228,389,25,677,74,240,501,225,1109,601,840,386,993,141,558
PIGQ,135,116,1,223,19,241,195,96,357,618,277,265,247,67,411
CRAMP1,331,111,8,262,51,155,305,107,387,590,399,355,257,145,592
TEAD3,69,22,0,15,2,48,16,70,786,76,52,26,27,22,1611
SELE,0,0,1,0,0,0,0,0,0,6,2,0,0,4,0
DNAJC11,942,600,8,589,211,1041,1130,229,1763,1481,1787,576,2872,851,1407
FMO3,6,16,0,0,0,258,0,0,40,1,1,0,3,252,43
MYLIP,182,167,0,329,68,429,528,91,153,179,190,828,991,142,379
NOX1,23,15,2,10,1,8,12,2,7,34,22,4,13,8,4
E2F2,8,0,0,6,0,3,6,0,0,4,3,0,4,4,0
PSMB1,2840,5112,38,3485,392,1683,2832,1966,4671,3576,4307,2526,4501,2207,2718
SYN1,17,12,0,10,0,16,20,6,27,50,23,22,7,19,31
JARID2,376,477,38,1422,141,130,1738,691,689,4026,1102,1120,237,289,932
CDKL5,8,17,1,49,181,102,62,30,623,242,97,3,266,25,918
CAMK1G,0,0,0,0,0,0,0,15,18,0,0,0,1,1,21
CDK11A,30,22,0,54,8,29,35,28,28,55,36,24,44,20,54
NADK,2045,189,7,849,77,840,433,183,907,1123,1119,371,1812,1118,895
TFAP2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
DLEC1,124,178,15,292,60,56,394,45,391,388,328,174,235,98,219
CYTH3,345,31,2,109,238,227,228,382,1595,467,314,28,504,10,1893
ADAM22,1288,181,21,1224,194,229,566,196,10,1582,1116,1706,1208,632,12
SYPL1,2359,66,29,1082,108,1300,1149,367,1579,1659,1430,357,1343,1642,1283
CYB561,1,605,0,6,1,1,35,14,263,8,2,333,1,11,334
SPAG9,2420,475,18,1268,225,1743,2290,1190,5125,2923,2965,1633,2922,1976,4073
CELSR3,430,116,19,1260,26,145,76,688,111,1647,927,1781,516,145,344
AASS,1,95,5,395,29,1,0,264,777,418,388,18,1,0,894
PLEKHG6,11,166,0,20,4,9,32,15,37,90,35,5,4,10,172
SS18L2,339,359,8,409,64,343,458,107,396,438,546,614,832,318,172
MPND,114,42,2,123,11,59,199,23,137,305,239,100,121,98,136
MGST1,461,0,0,0,21,0,0,49,1492,0,2,0,0,190,2096
CRY1,1,161,25,486,103,1,528,196,699,884,649,253,2,0,625
PGLYRP1,15,1,0,24,2,14,9,3,10,41,35,24,11,10,9
NFIX,45,1,0,197,3,18,99,274,1445,124,49,46,5,19,3215
ST3GAL1,323,13,17,818,12,60,2179,387,3005,1467,340,1310,148,52,6399
MMP25,47,3,1,71,0,60,387,29,20,238,52,44,63,35,76
IL32,13,130,60,2738,142,2,7621,86,279,1402,9,4,2026,4,39
PKD1,903,274,5,1030,63,1144,1264,858,3542,2039,1201,1652,1245,1011,5156
MAPK8IP2,26,1,0,11,0,17,2,1,11,17,34,16,21,8,8
MED24,1030,489,20,731,122,631,642,202,994,1197,1246,728,1022,522,1174
RHOBTB2,2223,190,9,322,38,1662,358,364,809,490,346,407,690,482,754
HEATR5B,703,450,18,691,253,620,1025,425,1247,723,565,898,1642,623,1042
SEC62,4457,1347,44,1126,250,1704,1161,1137,4644,1416,676,2042,2005,2609,3114
RPS20,9382,11978,248,9577,2405,13169,11144,7258,14249,12335,16762,16927,27408,5956,7070
CSDE1,8594,6935,259,8273,1625,5347,8745,5357,23053,15094,17025,6815,12526,5584,15823
UBE3C,3195,1050,71,2566,358,2103,2526,1192,4887,3880,3118,3478,2869,2275,3597
REV3L,2420,1083,59,1617,408,2143,1489,563,2799,2990,1354,3015,3002,2041,6022
TENM1,0,1215,11,99,0,245,57,4,51,1354,529,5984,24,4,21
PAX7,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
MASP2,74,49,4,44,17,124,48,24,63,129,72,94,110,69,77
IYD,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0
FAM76A,275,60,4,172,15,214,265,36,214,430,333,133,335,134,243
TRAF3IP3,104,303,22,785,210,188,1171,40,37,2320,1895,880,652,311,22
POMT2,105,106,2,206,23,143,196,146,499,424,284,197,249,139,546
VTA1,774,935,43,846,147,498,749,425,1485,1383,1179,536,1253,521,1092
MLXIPL,0,0,0,0,0,1,0,0,0,0,17,5,1,1,0
BAZ1B,5414,2061,131,5525,907,4968,4725,761,5074,7127,5950,5283,4858,4167,4937
RANBP9,896,349,20,566,112,392,1103,216,1406,2083,1334,839,780,383,1471
ETV7,0,2,0,1,0,0,1,0,3,0,0,0,28,0,14
SPRTN,404,315,13,420,50,267,533,147,588,831,696,253,454,312,403
METTL13,563,536,16,885,110,526,674,334,1030,871,1603,416,1232,409,858
DYRK4,115,113,7,278,41,152,265,92,377,569,466,157,195,54,151
ZNF207,3662,2022,79,3545,692,3233,4452,1457,4112,7444,4522,4302,3458,3298,3876
UQCRC1,1437,2125,61,2737,423,974,2941,1362,4719,3509,3913,2161,3843,965,2926
STARD3NL,366,298,15,686,301,264,942,353,1312,1116,1140,203,945,188,820
CD9,142,2104,0,0,1,15,51,0,2264,11,272,177,0,0,1443
HHATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NCAPD2,1919,1568,86,5299,504,2373,2323,1454,2263,3995,4387,5469,2762,2939,2224
IFFO1,304,68,5,299,17,120,219,111,708,488,352,243,211,195,810
GIPR,24,14,0,85,16,77,41,2,29,98,60,50,10,73,29
PHF7,82,24,1,223,30,93,181,20,41,580,575,183,112,91,33
SEMA3G,17,65,0,220,1,61,12,3,0,183,324,42,94,0,3
NISCH,1047,1023,19,1295,180,810,1707,451,3325,2629,2034,2605,1330,642,3370
STAB1,61,41,0,92,7,46,21,9,173,85,79,54,72,33,67
FUZ,207,163,10,618,20,49,305,304,317,692,807,192,358,156,257
SLC6A13,1,0,0,1,0,1,6,7,1,23,2,0,4,2,11
IDS,595,199,8,179,63,377,341,430,770,646,301,840,1765,353,1256
PRSS3,4,1,0,0,0,1,3,4,47,4,0,2,0,1,13
ZNF200,262,179,11,535,57,162,315,67,252,572,237,372,414,124,214
CD4,73,440,20,1262,414,3,2,7,488,187,52,2469,2,1,1122
LRRC23,82,12,1,54,5,64,64,30,140,141,206,47,86,61,117
BTK,2645,379,1,14,149,1928,2,1,3,4,3,3,2442,1208,0
HFE,2,96,0,5,7,5,25,112,436,1,2,3,3,0,388
SCMH1,928,132,6,730,96,865,287,248,663,1473,1055,142,776,375,1069
FYN,188,226,15,568,178,277,1371,498,826,1785,1369,1155,996,437,772
HIVEP2,1053,262,17,554,249,676,905,849,963,1674,82,583,726,999,1293
FMO1,2,0,0,4,0,16,1,0,0,0,2,0,3,12,1
ELOA,1096,616,25,891,267,283,674,467,1871,1375,1335,498,2047,373,1826
LYPLA2,522,383,8,426,73,325,556,494,924,801,664,500,1371,296,513
CLCN6,798,118,4,266,29,573,355,204,454,628,398,347,520,436,1039
MRC2,3,260,8,276,7,4,1732,2469,15006,515,750,1201,2,2,10076
NME1-NME2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
TSPAN9,28,22,0,28,0,2,607,991,1331,102,48,157,39,5,1466
BTBD7,695,10,1,61,3,39,17,24,127,135,35,28,45,14,65
APBA3,216,166,1,155,24,100,164,102,253,272,290,117,254,129,166
MKS1,34,205,3,303,43,4,225,66,217,562,639,196,0,28,165
ABHD5,145,194,6,158,34,115,135,121,748,350,304,183,129,36,637
ANOS1,1,0,0,0,3,0,0,184,6,0,0,0,0,0,1
AKAP8L,801,688,15,864,165,655,1383,537,1375,1305,1564,1000,1037,747,1194
MBTD1,844,299,22,1188,90,868,1232,413,541,2206,1220,776,780,738,665
UTP18,1315,1178,61,1342,214,1014,1680,506,1106,1994,3112,928,1681,950,687
RNF216,1450,357,35,1521,244,907,1512,667,2059,1942,2087,1053,1834,590,2544
TTC19,503,516,42,1077,289,778,1255,4302,997,2021,1964,865,1186,260,1067
PTBP1,4353,2289,127,3927,1086,2242,3233,1647,4041,6050,5085,3275,3556,2223,4182
DPF1,36,21,0,49,11,25,42,7,79,101,116,68,61,36,76
SYT7,0,0,0,2,0,0,1,6,12,12,87,0,1,0,1
LARS2,834,856,30,1372,236,721,1013,266,1262,1465,1724,1038,1886,550,983
PIK3C2A,1938,465,21,922,196,941,1558,854,3471,1979,1552,1031,2198,1005,2861
PLAUR,1,3,2,70,0,5,433,1262,1917,159,29,4,0,1,851
ANLN,521,477,40,1235,240,1231,1693,845,5443,2664,2260,1071,2356,1076,3536
WIZ,472,62,1,128,54,231,203,134,555,567,230,202,297,235,1108
RABGAP1,1186,509,13,617,191,1042,973,619,2135,1801,1327,953,1263,658,2636
DCN,28,0,1,0,9,1,0,0,41202,42,81,0,0,0,48723
QPCTL,139,64,0,204,21,249,129,104,178,178,140,117,380,183,143
PPP5C,1455,1255,36,1839,269,1024,1047,342,1707,1836,1949,739,2299,1083,1158
CEP68,957,151,7,375,79,276,652,148,685,1265,698,833,548,625,851
MAP4K3,320,80,10,338,61,305,363,428,1904,324,275,220,344,257,3078
ZBTB32,122,107,2,47,58,50,19,14,33,86,52,185,448,65,13
TYROBP,2,0,0,0,0,2,0,0,0,1,2,0,0,1,0
LDAF1,144,32,0,187,12,212,175,92,1112,238,168,145,368,75,407
GABRA3,0,0,0,2,0,0,0,51,0,0,0,0,0,0,0
BRCA1,1459,867,47,1981,399,2403,2577,198,755,3857,2709,2645,3165,1866,540
ERCC1,1436,398,22,1268,243,580,414,616,1739,1097,1189,434,1151,490,1377
CD22,3421,113,0,2,154,6175,3,99,5,1,2,10,5364,4481,6
SEMA3B,1,22,0,4,0,5,21,297,629,24,13,29,1,2,1892
MBTPS2,300,83,3,156,39,218,101,212,601,398,218,118,510,134,837
PRICKLE3,77,68,1,53,19,1,53,4,60,115,73,145,81,43,135
LTF,1,18,0,12,0,2,0,26,0,0,1,1,0,0,0
EXTL3,346,262,5,792,37,227,457,652,1759,1308,689,415,234,146,1940
NR1H4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ELOVL5,1465,1212,85,2769,481,1451,3866,1070,2108,10800,5931,1892,3300,1184,1599
ALOX5,25,0,0,1,0,128,0,0,1,2,0,0,40,49,0
KDM5D,1095,809,0,0,0,206,1175,353,0,2211,0,3285,1394,3,2
CALCOCO1,110,77,1,205,41,39,366,592,1945,441,278,190,216,18,1968
UBR7,53,35,2,48,13,16,50,9,22,54,227,32,64,43,9
MAP4K5,833,241,33,782,200,760,960,506,3459,1383,1045,270,684,539,3153
EHD3,40,0,0,0,7,13,1,200,1712,14,9,0,33,12,1600
PSMC4,55,36,0,94,16,18,46,56,87,73,93,22,165,53,34
MAN2B2,567,159,5,300,60,235,433,365,2218,843,570,318,328,164,2328
SLC7A14,1,0,0,1,1,0,0,0,1127,0,0,0,0,0,662
CLDN11,4,0,0,0,5,0,0,2,8286,12,9,0,2,2,4655
SLC25A39,1452,864,12,1176,187,1125,1212,386,1007,1212,1494,870,2593,611,698
MVP,142,512,2,60,102,214,551,1910,10410,382,254,166,2377,107,8927
NUB1,926,101,18,748,75,1078,1313,563,1321,1070,1046,270,1320,868,922
PGM3,628,661,11,723,81,503,621,699,6454,1074,969,548,1294,662,3587
RWDD2A,38,99,1,60,14,15,71,114,282,191,144,49,143,30,236
CLK1,1031,998,23,916,322,809,1747,772,1633,1719,1089,1948,821,572,1660
POLR3B,635,488,17,511,191,401,356,110,731,593,615,344,691,364,650
ANGEL1,396,173,4,437,32,314,256,54,267,873,833,330,314,253,384
RNF14,721,465,5,441,67,532,580,284,2568,1046,1327,385,1255,352,1254
DNASE1L1,323,87,5,284,47,259,251,378,1435,242,177,269,332,167,649
DDX11,2818,552,35,1875,195,1698,1548,410,561,2860,2479,2063,1588,1386,386
HEBP1,46,7,1,32,2,25,12,108,663,47,76,130,52,18,1234
GPRC5A,0,0,0,0,1,0,0,1028,475,0,4,0,2,0,1777
MAMLD1,0,1,0,0,0,0,60,14,286,24,11,0,0,1,606
CD6,0,872,7,62,0,4,1583,0,0,1020,284,2463,5,4,1
TACC3,1296,635,31,1378,188,1293,1255,482,1104,2669,1926,977,1791,1580,959
UFL1,636,1239,32,753,167,612,657,394,1369,1079,1372,916,1256,449,899
POLA2,841,543,23,682,233,710,644,116,575,1873,981,1223,1339,760,513
ZC3H3,103,87,0,46,11,35,66,5,58,127,48,104,24,134,242
CAPN1,851,131,10,650,101,415,978,576,2694,1263,872,545,973,353,2690
ACP3,3,0,0,0,0,64,0,1,8,0,0,0,2,0,51
MDH1,1715,3371,69,3103,715,1453,3355,919,3519,2723,4157,2927,3672,2580,1705
SLC30A9,1307,784,46,1161,306,650,1380,882,3498,2024,2454,917,1949,858,2165
MTMR11,36,0,0,5,1,0,10,394,244,10,1,8,5,4,361
COX15,581,480,7,1082,173,770,626,472,1127,1237,1354,799,1559,510,995
CCDC88C,4296,1180,55,1731,272,2292,2646,218,36,5065,3068,3032,2488,2753,51
YAF2,640,356,17,567,186,247,599,192,570,791,679,1124,614,411,555
